Corruption,Severity,SeverityLabel,AlexNet_Acc,AlexNet_F1,GoogLeNet_Acc,GoogLeNet_F1
Gaussian Noise,1,σ=0.05,100.0,100.0,75.0,73.33333333333334
Gaussian Noise,2,σ=0.10,91.66666666666666,91.6083916083916,50.0,33.33333333333333
Gaussian Noise,3,σ=0.20,66.66666666666666,65.71428571428571,50.0,50.0
Gaussian Noise,4,σ=0.30,41.66666666666667,29.411764705882355,50.0,33.33333333333333
Gaussian Noise,5,σ=0.40,58.333333333333336,49.57983193277311,33.33333333333333,25.0
Brightness Shift,1,×0.25,83.33333333333334,82.85714285714285,50.0,33.33333333333333
Brightness Shift,2,×0.50,100.0,100.0,50.0,33.33333333333333
Brightness Shift,3,×0.75,100.0,100.0,66.66666666666666,62.5
Brightness Shift,4,×1.50,91.66666666666666,91.6083916083916,66.66666666666666,65.71428571428571
Brightness Shift,5,×2.00,91.66666666666666,91.6083916083916,25.0,20.0
Contrast Shift,1,×0.25,91.66666666666666,91.6083916083916,58.333333333333336,49.57983193277311
Contrast Shift,2,×0.50,91.66666666666666,91.6083916083916,66.66666666666666,62.5
Contrast Shift,3,×0.75,100.0,100.0,91.66666666666666,91.6083916083916
Contrast Shift,4,×1.50,100.0,100.0,75.0,74.82517482517483
Contrast Shift,5,×2.00,100.0,100.0,83.33333333333334,82.85714285714285
Gaussian Blur,1,r=1,100.0,100.0,83.33333333333334,83.33333333333334
Gaussian Blur,2,r=2,58.333333333333336,49.57983193277311,66.66666666666666,62.5
Gaussian Blur,3,r=3,58.333333333333336,49.57983193277311,58.333333333333336,49.57983193277311
Gaussian Blur,4,r=5,50.0,33.33333333333333,66.66666666666666,62.5
Gaussian Blur,5,r=9,50.0,33.33333333333333,58.333333333333336,55.55555555555556
JPEG Compression,1,q=10,66.66666666666666,62.5,58.333333333333336,55.55555555555556
JPEG Compression,2,q=20,100.0,100.0,83.33333333333334,83.33333333333334
JPEG Compression,3,q=35,100.0,100.0,75.0,74.82517482517483
JPEG Compression,4,q=50,83.33333333333334,82.85714285714285,83.33333333333334,83.33333333333334
JPEG Compression,5,q=80,100.0,100.0,83.33333333333334,83.33333333333334
